hhid,round,TLU_class,weight,slocid,panelnewhh,enumerator,interview_yr,interview_month,interview_day,hh_head_clanCODED,hh_head_ethnic_group,hh_head_ethnic_group_other,district,division,location,sublocation_16,villageCODED,village_otherCODED,contact_id,contact_relation,contact_relation_other,relationhhead,headchange,codeinterviewee,codeintervieweecnsption,sameinterviewee,notsameinterviewee,interviewee_same,consumption_interviewee_same,supervisor_decision,interviewee_id_changed,interviewee_id_cons_changed,householdmove2009,movetowhere,sublocation_previous,sublocation_confirmed,moved_sublocation,new_sublocation,sublocation_other,village_previous,village_confirmedCODED,s1q6_old,s1q6_old_other,moved500m,s2q15,s2q18,s2q19,interviewee_newhh,s6q1a,s6q1b,s6q1c,s6q1d,s6q1e,s6q1f,s6q1g,s6b_comment,s6q19,lossaccountedyn,s6q26,intakeaccountedyn,s6q35,offaccountedyn,s6q44,birthyn,s6q48,slaughteryn,s9q1,s9q2,s9q3,s9q4,s10q7,s10q8,s10q9,s10q10,nw_codeintervieweecnsption,supervisor,respondent_located_yn,respondent_located_n_why,respondent_located_n_why_other,respondent_located_n_phone_yn,fit_for_interview,fit_for_interview_other,previoussurvey_yn,current_residence_sublocation,current_residence_sublocation_ot,current_residence_villageCODED,current_residence_manyatta_CODED,location_home
1005,3,M,1.6666666,DAKABARICHA,repeat household,324,2011,11,4,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,Yes,,No,,Yes,,Yes,,No,,No,No,No,Yes,No,N,N,N,1,4,,,,,,,,,,,,
1005,4,M,1.8181819,DAKABARICHA,repeat household,431,2012,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,Yes,,,,,,,,,,Yes,Yes,No,,No,,Yes,Yes,No,,Yes,No,Yes,Yes,No,N,N,N,1,5,,,,,,,,,,,,
1005,5,M,1.8181819,DAKABARICHA,repeat household,534,2013,10,29,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,7,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,No,-97,,,No,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,,Yes,No,No,No,No,,,,1,8,,,,,,,,,,,,
1005,6,M,1.6666666,DAKABARICHA,repeat household,638,2014,8,13,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,,Yes,,,,Yes,,,,,Yes,Yes,Yes,Yes,No,,,,1,4,,,,,,,,,,,,
1005,7,M,1.6666666,DAKABARICHA,repeat household,711,2020,10,17,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,Yes,,,,Yes,,Yes,DAKABARICHA,,1705,,"Yes, permanent home (within 200 meters)"
1006,1,M,1.6666666,DAKABARICHA,,,2009,11,10,6,Gabra,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,Yes,,Yes,,Yes,,Yes,No,No,No,,,,,1,,,,,,,,,,,,,
1006,2,M,1.6666666,DAKABARICHA,,,2010,10,21,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,101,,1,Head,,,No,1,1,Yes,,,,,,,No,,,,,,,,,,,No,No,,No,,,,,,,,,The respondants said that there was no cattle birth she said two of the female ,No,,No,,No,,Yes,,No,,Yes,No,No,No,,,,,1,,,,,,,,,,,,,
1006,3,M,1.6666666,DAKABARICHA,repeat household,301,2011,11,4,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,Yes,,No,,Yes,,No,,No,,No,No,No,No,No,N,N,N,1,4,,,,,,,,,,,,
1006,4,M,1.8181819,DAKABARICHA,repeat household,432,2012,10,24,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,Yes,,,,No,,,No,,,,,,,,,,No,,No,,No,,No,,No,,Yes,No,Yes,Yes,No,N,N,N,1,5,,,,,,,,,,,,
1006,5,M,1.8181819,DAKABARICHA,repeat household,504,2013,10,29,,,,MARSABIT CENTRAL,CENTRAL,DAKABARICHA,DAKABARICHA,,,,,,,No,,,,,Yes,Yes,,,,,,Yes,,No,,,No,102,,,No,,,Yes,,,,,,,,,,No,,No,,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,,,,1,8,,,,,,,,,,,,
