hhid,round,gps_latitude,gps_longitude
7013,1,3.3,38.5
7014,1,3.3,38.5
7015,1,3.5999999,38.5
7016,1,3.3,38.5
7017,1,3.5,38.599998
7018,1,3.5,38.599998
7019,1,3.5,38.599998
7020,1,3.5999999,38.5
7021,1,3.5,38.5
7022,1,3.5,38.5
7023,1,3.5,38.599998
7024,1,3.5,38.5
7025,1,3.4000001,38.5
7026,1,3.4000001,38.5
7027,1,3.3,38.5
7028,1,3.3,38.5
7029,1,3.3,38.5
7030,1,3.5,38.5
7031,1,3.3,38.5
7032,1,3.3,38.5
7033,1,3.3,38.5
7034,1,3.3,38.5
7035,1,3.3,38.5
7036,1,3.5999999,38.5
7037,1,3.5999999,38.5
7038,1,3.5,38.5
7039,1,3.5,38.5
7040,1,3.5,38.5
7041,1,3.5,38.5
7042,1,3.5999999,38.5
7043,1,3.5,38.5
7049,1,3.5,38.5
8001,1,2.2,38
8002,1,2.4000001,38.099998
8003,1,2.4000001,37.900002
8004,1,2.2,37.900002
8005,1,2.4000001,38
8006,1,2.3,38.099998
8007,1,2.3,38.099998
8008,1,2.3,38.099998
8009,1,2.4000001,38.099998
8010,1,2.3,38.099998
8011,1,2.4000001,38
8012,1,2.2,37.900002
8013,1,2.2,38
8014,1,2.4000001,38
8015,1,2.4000001,38
8016,1,2.2,37.900002
8017,1,2.4000001,38
8018,1,2.2,38
8019,1,2.4000001,38
8020,1,2.3,38.099998
8021,1,2.3,38.099998
8022,1,2.3,38
8023,1,2.3,37.900002
8024,1,2.2,37.900002
8025,1,2.3,37.900002
8026,1,2.3,38
8027,1,2.4000001,38
8028,1,2.4000001,37.900002
8029,1,2.5,37.900002
8030,1,2.3,38
8031,1,2.3,38
8032,1,2.4000001,38
8033,1,2.4000001,38
8034,1,2.3,37.900002
8035,1,2.3,37.900002
8036,1,2.3,37.900002
8037,1,2.4000001,37.900002
8038,1,2.4000001,38.099998
8039,1,2.4000001,38.099998
8040,1,2.2,38
8041,1,2.3,38.099998
8042,1,2.4000001,38.099998
8044,1,2.4000001,38.099998
8045,1,2.2,38
8046,1,2.4000001,38.099998
8047,1,2.3,38.099998
8048,1,2.3,38.099998
8049,1,2.3,38.099998
8050,1,2.4000001,37.900002
8051,1,2.4000001,38
8052,1,2.4000001,38
8053,1,2.4000001,38
8054,1,2.4000001,38
8055,1,2.4000001,38.099998
8056,1,2.3,37.900002
9001,1,2.5999999,37.599998
9002,1,2.5999999,37.599998
9003,1,2.5999999,37.799999
9004,1,2.5999999,37.599998
9005,1,2.5,37.599998
9006,1,2.7,37.799999
9007,1,2.5999999,37.799999
9008,1,2.5,37.799999
9009,1,2.5,37.799999
9010,1,2.5,37.799999
9011,1,2.5,37.599998
9012,1,2.5,37.700001
9013,1,2.5,37.599998
9014,1,2.5999999,37.799999
9015,1,2.5999999,37.799999
9016,1,2.5999999,37.799999
9017,1,2.5,37.599998
