hhid,round,comment,foodclass,foodtype,s11q2,s11q6a,s11q7
1005,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1005,6,0,OILS AND FATS,Cooking fat (solids),No,,
1005,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1005,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1005,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1005,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1005,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1005,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Four days
1005,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Three days
1005,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1005,6,0,DRINKS,Other drinks,Yes,PURCHASE,Three days
1005,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1005,6,0,OTHER,Chat/qat/miraa,No,,
1005,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1005,6,0,WILD FOOD,Wild food,No,,
1006,6,0,CEREALS,Maize - grain,No,,
1006,6,0,CEREALS,Maize - flour (pre-packed),No,,
1006,6,0,CEREALS,Maize - flour (Posho),Yes,PURCHASE,Four days
1006,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Two days
1006,6,0,CEREALS,Rice,Yes,PURCHASE,Five days
1006,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1006,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Four days
1006,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",No,,
1006,6,0,EGGS,Eggs,Yes,PURCHASE,Three days
1006,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1006,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Three days
1006,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1006,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1006,6,0,OILS AND FATS,Cooking fat (solids),No,,
1006,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1006,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1006,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1006,6,0,VEGETABLES,Onions,Yes,PURCHASE,Six days
1006,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Six days
1006,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",No,,
1006,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Four days
1006,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Five days
1006,6,0,DRINKS,Other drinks,No,,
1006,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1006,6,0,OTHER,Chat/qat/miraa,No,,
1006,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",Yes,PRIVATE GIFT,Four days
1006,6,0,WILD FOOD,Wild food,No,,
1007,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,Seven days
1007,6,0,CEREALS,Maize - flour (pre-packed),No,,
1007,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Four days
1007,6,0,CEREALS,Wheat flour,Yes,SELF PRODUCTION,Four days
1007,6,0,CEREALS,Rice,No,,
1007,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1007,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Two days
1007,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Six days
1007,6,0,EGGS,Eggs,Yes,SELF PRODUCTION,Four days
1007,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Five days
1007,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,No,,
1007,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1007,6,0,OILS AND FATS,Cooking oil (liquids),Yes,CREDIT/LOAN,Seven days
1007,6,0,OILS AND FATS,Cooking fat (solids),No,,
1007,6,0,SUGAR,Sugar,Yes,CREDIT/LOAN,Seven days
1007,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1007,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1007,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1007,6,0,VEGETABLES,Tomatoes and tomato paste,No,,
1007,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",No,,
1007,6,0,FRUITS,"Fruits (banana, lemon, etc.)",No,,
1007,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1007,6,0,DRINKS,Other drinks,No,,
1007,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1007,6,0,OTHER,Chat/qat/miraa,No,,
1007,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1007,6,0,WILD FOOD,Wild food,No,,
1008,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,Seven days
1008,6,0,CEREALS,Maize - flour (pre-packed),No,,
1008,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Five days
1008,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Seven days
1008,6,0,CEREALS,Rice,Yes,PURCHASE,One day
1008,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1008,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Five days
1008,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Five days
1008,6,0,EGGS,Eggs,No,,
1008,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Four days
1008,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,One day
1008,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1008,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1008,6,0,OILS AND FATS,Cooking fat (solids),No,,
1008,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1008,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1008,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1008,6,0,VEGETABLES,Onions,Yes,PURCHASE,Four days
1008,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Four days
1008,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Three days
1008,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Three days
1008,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1008,6,0,DRINKS,Other drinks,No,,
1008,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1008,6,0,OTHER,Chat/qat/miraa,No,,
1008,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1008,6,0,WILD FOOD,Wild food,No,,
1009,6,0,CEREALS,Maize - grain,Yes,PURCHASE,Three days
1009,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Three days
1009,6,0,CEREALS,Maize - flour (Posho),Yes,PURCHASE,One day
1009,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Two days
1009,6,0,CEREALS,Rice,Yes,PURCHASE,Two days
1009,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Two days
1009,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Two days
1009,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,PURCHASE,Three days
1009,6,0,EGGS,Eggs,Yes,PURCHASE,Two days
1009,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Three days
1009,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Three days
1009,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1009,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1009,6,0,OILS AND FATS,Cooking fat (solids),Yes,PURCHASE,Seven days
1009,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1009,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1009,6,0,SALT AND SPICES,"Spices (chilli, etc.)",Yes,PURCHASE,Two days
1009,6,0,VEGETABLES,Onions,Yes,PURCHASE,Two days
1009,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Two days
1009,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,One day
1009,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Two days
1009,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1009,6,0,DRINKS,Other drinks,Yes,PURCHASE,Two days
1009,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1009,6,0,OTHER,Chat/qat/miraa,No,,
1009,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",Yes,PURCHASE,Two days
1009,6,0,WILD FOOD,Wild food,No,,
1010,6,0,CEREALS,Maize - grain,Yes,PURCHASE,Seven days
1010,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Three days
1010,6,0,CEREALS,Maize - flour (Posho),No,,
1010,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Seven days
1010,6,0,CEREALS,Rice,Yes,PURCHASE,Two days
1010,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Three days
1010,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Four days
1010,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,PURCHASE,One day
1010,6,0,EGGS,Eggs,Yes,PURCHASE,Two days
1010,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1010,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Six days
1010,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1010,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1010,6,0,OILS AND FATS,Cooking fat (solids),No,,
1010,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1010,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1010,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1010,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1010,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1010,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Three days
1010,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Two days
1010,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1010,6,0,DRINKS,Other drinks,Yes,PURCHASE,Seven days
1010,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",Yes,PURCHASE,Seven days
1010,6,0,OTHER,Chat/qat/miraa,No,,
1010,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1010,6,0,WILD FOOD,Wild food,No,,
1011,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,One day
1011,6,0,CEREALS,Maize - flour (pre-packed),No,,
1011,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Four days
1011,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Four days
1011,6,0,CEREALS,Rice,Yes,PURCHASE,Four days
1011,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Six days
1011,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Seven days
1011,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Four days
1011,6,0,EGGS,Eggs,Yes,PURCHASE,Three days
1011,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1011,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Five days
1011,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1011,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1011,6,0,OILS AND FATS,Cooking fat (solids),No,,
1011,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1011,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1011,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1011,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1011,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Five days
1011,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Two days
1011,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Two days
1011,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1011,6,0,DRINKS,Other drinks,Yes,PURCHASE,Four days
1011,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1011,6,0,OTHER,Chat/qat/miraa,No,,
1011,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1011,6,0,WILD FOOD,Wild food,No,,
1012,6,0,CEREALS,Maize - grain,Yes,PURCHASE,Three days
1012,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Three days
1012,6,0,CEREALS,Maize - flour (Posho),Yes,PURCHASE,Three days
1012,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Four days
1012,6,0,CEREALS,Rice,Yes,PURCHASE,Two days
1012,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Two days
1012,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,One day
1012,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,PURCHASE,One day
1012,6,0,EGGS,Eggs,No,,
1012,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,One day
1012,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Two days
1012,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",Yes,PURCHASE,Two days
1012,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1012,6,0,OILS AND FATS,Cooking fat (solids),Yes,PURCHASE,Seven days
1012,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1012,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1012,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1012,6,0,VEGETABLES,Onions,No,,
1012,6,0,VEGETABLES,Tomatoes and tomato paste,No,,
1012,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",No,,
1012,6,0,FRUITS,"Fruits (banana, lemon, etc.)",No,,
1012,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1012,6,0,DRINKS,Other drinks,No,,
1012,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1012,6,0,OTHER,Chat/qat/miraa,No,,
1012,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1012,6,0,WILD FOOD,Wild food,No,,
1013,6,0,CEREALS,Maize - grain,Yes,PURCHASE,Two days
1013,6,0,CEREALS,Maize - flour (pre-packed),Yes,PURCHASE,Four days
1013,6,0,CEREALS,Maize - flour (Posho),No,,
1013,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Seven days
1013,6,0,CEREALS,Rice,Yes,PURCHASE,Two days
1013,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Four days
1013,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Three days
1013,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Four days
1013,6,0,EGGS,Eggs,Yes,SELF PRODUCTION,Two days
1013,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1013,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,One day
1013,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1013,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1013,6,0,OILS AND FATS,Cooking fat (solids),No,,
1013,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1013,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1013,6,0,SALT AND SPICES,"Spices (chilli, etc.)",No,,
1013,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1013,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1013,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Three days
1013,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Three days
1013,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1013,6,0,DRINKS,Other drinks,No,,
1013,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1013,6,0,OTHER,Chat/qat/miraa,No,,
1013,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",No,,
1013,6,0,WILD FOOD,Wild food,No,,
1014,6,0,CEREALS,Maize - grain,Yes,PURCHASE,Two days
1014,6,0,CEREALS,Maize - flour (pre-packed),Yes,SELF PRODUCTION,Two days
1014,6,0,CEREALS,Maize - flour (Posho),Yes,PURCHASE,Six days
1014,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Six days
1014,6,0,CEREALS,Rice,Yes,PURCHASE,Three days
1014,6,0,CEREALS,"Other cereals (grains, pasta, bread)",Yes,PURCHASE,Four days
1014,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Six days
