hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
14071,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,No,Public tap,,Yes
14073,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14073,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,Yes
14073,4,0,improved,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Purchased firewood,Battery torch,,Yes,Ventilation improved pit latrine,Public tap,,0,3,No,Public tap,,No
14073,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,No
14073,6,0,Remained the same,,,,,,,,,,,,,Borehole,,5,,No,Borehole,,Yes
14074,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,15,No,Public tap,,No
14075,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14075,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,No,Public tap,,Yes
14075,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,No
14075,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,15,No,Public tap,,No
14075,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,No
14076,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Lake,,0,40,No,Lake,,No
14076,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,No
14076,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
14076,5,0,Remained the same,,,,,,,,,,,,,Lake,,0,50,No,Lake,,Yes
14076,6,0,Worsened,,Grass/Reeds,,Sand/Earth,,1,Traditional fire,Purchased firewood,Collected firewood,,No,,Public tap,,5,,No,Lake,,No
14077,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Lake,,0,45,No,Lake,,Yes
14077,3,0,Worsened,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Lake,,1,,No,Lake,,Yes
14077,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,45,No,Unprotected well,,Yes
14077,5,0,Remained the same,,,,,,,,,,,,,Lake,,2,,No,Lake,,Yes
14077,6,0,Worsened,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Battery torch,,No,,Lake,,1,,No,Lake,,Yes
14078,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,3,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14078,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,No,Public tap,,Yes
14078,4,0,improved,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,Yes,Covered pit latrine,Public tap,,0,5,No,Public tap,,No
14078,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,No
14078,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,Yes
14081,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Lake,,0,10,No,Lake,,Yes
14082,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,5,No,Public tap,,No
14082,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,45,No,Public tap,,Yes
14082,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,2,No,Public tap,,No
